"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"nel.gov","nel.gov","https://nel.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nemi.gov","nemi.gov","https://www.nemi.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nepa.gov","nepa.gov","https://nepa.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nersc.gov","nersc.gov","https://www.nersc.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"neup.gov","neup.gov","http://neup.gov","Department of Energy","dotgov","No","No","No","","","","","","No"
"nfpors.gov","nfpors.gov","https://nfpors.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nga.gov","nga.gov","https://www.nga.gov","National Gallery of Art","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"ngc.gov","ngc.gov","https://ngc.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nhl.gov","nhl.gov","https://nhl.gov","Department of Housing and Urban Development","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nhtsa.gov","nhtsa.gov","https://www.nhtsa.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nic.gov","nic.gov","https://nic.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nicic.gov","nicic.gov","https://nicic.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nicsezcheckfbi.gov","nicsezcheckfbi.gov","https://nicsezcheckfbi.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"niem.gov","niem.gov","https://www.niem.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nifc.gov","nifc.gov","https://www.nifc.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nigc.gov","nigc.gov","https://www.nigc.gov","National Indian Gaming Commission","dotgov","No","Yes","Yes","No","Yes","No","No","No","No"
"nih.gov","nih.gov","https://www.nih.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
