"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"18f.gov","18f.gov","https://18f.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"2020census.gov","2020census.gov","http://2020census.gov","Department of Commerce","dotgov","No","No","Yes","Yes","No","No","No","No","No"
"9-11commission.gov","9-11commission.gov","https://9-11commission.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"911.gov","911.gov","https://www.911.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"911commission.gov","911commission.gov","https://911commission.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"abandonedmines.gov","abandonedmines.gov","https://abandonedmines.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"abilityone.gov","abilityone.gov","https://abilityone.gov","United States AbilityOne","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"abmc.gov","abmc.gov","http://abmc.gov","American Battle Monuments Commission","dotgov","No","No","Yes","Yes","No","No","No","No","Yes"
"access-board.gov","access-board.gov","https://www.access-board.gov","United States Access Board","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"accessibility.gov","accessibility.gov","http://accessibility.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"acf.gov","acf.gov","http://acf.gov","Department of Health and Human Services","dotgov","No","No","No","","","","","","No"
"achp.gov","achp.gov","https://achp.gov","Advisory Council on Historic Preservation","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"acl.gov","acl.gov","https://acl.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"acquisition.gov","acquisition.gov","https://acquisition.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"acus.gov","acus.gov","https://www.acus.gov","Administrative Conference of the United States","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"acwi.gov","acwi.gov","https://acwi.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ada.gov","ada.gov","https://www.ada.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"adf.gov","adf.gov","http://adf.gov","United States African Development Foundation","dotgov","No","No","No","","","","","","No"
"adlnet.gov","adlnet.gov","https://adlnet.gov","Department of Defense","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"admongo.gov","admongo.gov","https://www.admongo.gov","Federal Trade Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"adr.gov","adr.gov","https://www.adr.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"afadvantage.gov","afadvantage.gov","https://afadvantage.gov","General Services Administration","dotgov","No","No","No","","","","","","No"
"aff.gov","aff.gov","https://www.aff.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"afrh.gov","afrh.gov","https://www.afrh.gov","Armed Forces Retirement Home","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aftac.gov","aftac.gov","http://aftac.gov","Department of Defense","dotgov","","","","","","","","","No"
"ag.gov","ag.gov","http://ag.gov","U.S. Department of Agriculture","dotgov","","","","","","","","","No"
"aging.gov","aging.gov","https://aging.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"agingstats.gov","agingstats.gov","https://agingstats.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ahcpr.gov","ahcpr.gov","https://ahcpr.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ahrq.gov","ahrq.gov","https://www.ahrq.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ai.gov","ai.gov","https://ai.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"aids.gov","aids.gov","http://aids.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"airnow.gov","airnow.gov","https://airnow.gov","Environmental Protection Agency","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"alaskacenters.gov","alaskacenters.gov","https://www.alaskacenters.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"alertaenlinea.gov","alertaenlinea.gov","https://www.alertaenlinea.gov","Federal Trade Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"alzheimers.gov","alzheimers.gov","https://www.alzheimers.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ama.gov","ama.gov","https://www.ama.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"amberalert.gov","amberalert.gov","https://amberalert.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"america.gov","america.gov","https://www.america.gov","Department of State","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"americathebeautifulquarters.gov","americathebeautifulquarters.gov","https://americathebeautifulquarters.gov","Department of the Treasury","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"americorps.gov","americorps.gov","https://americorps.gov","Corporation for National & Community Service","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ameslab.gov","ameslab.gov","https://www.ameslab.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"amtrakoig.gov","amtrakoig.gov","https://amtrakoig.gov","AMTRAK","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"anchorit.gov","anchorit.gov","https://anchorit.gov","Consumer Product Safety Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"anl.gov","anl.gov","https://www.anl.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"anstaskforce.gov","anstaskforce.gov","https://anstaskforce.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"aoa.gov","aoa.gov","https://aoa.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ap.gov","ap.gov","http://www.ap.gov","Department of Commerce","dotgov","No","No","No","","","","","","No"
"applicationmanager.gov","applicationmanager.gov","https://applicationmanager.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"apprenticeship.gov","apprenticeship.gov","https://www.apprenticeship.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"apprenticeships.gov","apprenticeships.gov","https://apprenticeships.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"arc.gov","arc.gov","https://www.arc.gov","Appalachian Regional Commission","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"archives.gov","archives.gov","https://www.archives.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"arctic.gov","arctic.gov","https://arctic.gov","National Science Foundation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"arm.gov","arm.gov","https://arm.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ars-grin.gov","ars-grin.gov","https://www.ars-grin.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"arsusda.gov","arsusda.gov","http://arsusda.gov","U.S. Department of Agriculture","dotgov","","","","","","","","","No"
"arts.gov","arts.gov","https://www.arts.gov","National Endowment for the Arts","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"asap.gov","asap.gov","https://asap.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"asc.gov","asc.gov","https://www.asc.gov","Appraisal Subcommittee","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"askkaren.gov","askkaren.gov","https://askkaren.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"atf.gov","atf.gov","https://www.atf.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"atfonline.gov","atfonline.gov","https://www.atfonline.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"atvsafety.gov","atvsafety.gov","https://atvsafety.gov","Consumer Product Safety Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"aviationweather.gov","aviationweather.gov","https://aviationweather.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ayudaconmibanco.gov","ayudaconmibanco.gov","https://ayudaconmibanco.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"bankanswers.gov","bankanswers.gov","https://bankanswers.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"bankcustomer.gov","bankcustomer.gov","https://bankcustomer.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"bankcustomerassistance.gov","bankcustomerassistance.gov","https://bankcustomerassistance.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"bankhelp.gov","bankhelp.gov","https://bankhelp.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"banknet.gov","banknet.gov","https://banknet.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"bats.gov","bats.gov","https://www.bats.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bbg.gov","bbg.gov","https://www.bbg.gov","Broadcasting Board of Governors","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"bcfp.gov","bcfp.gov","https://bcfp.gov","Consumer Financial Protection Bureau","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bea.gov","bea.gov","https://www.bea.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"bebest.gov","bebest.gov","https://bebest.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"befoodsafe.gov","befoodsafe.gov","https://befoodsafe.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"benefits.gov","benefits.gov","https://www.benefits.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"bep.gov","bep.gov","http://bep.gov","Department of the Treasury","dotgov","No","No","No","Yes","No","No","No","No","Yes"
"betobaccofree.gov","betobaccofree.gov","https://betobaccofree.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"bfem.gov","bfem.gov","https://bfem.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"bia.gov","bia.gov","https://www.bia.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bioethics.gov","bioethics.gov","http://bioethics.gov","Department of Health and Human Services","dotgov","","","","","","","","","No"
"biomassboard.gov","biomassboard.gov","http://biomassboard.gov","Department of Energy","dotgov","No","No","Yes","Yes","No","No","No","No","Ready"
"biometriccoe.gov","biometriccoe.gov","http://biometriccoe.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"biometrics.gov","biometrics.gov","https://biometrics.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"biopreferred.gov","biopreferred.gov","https://www.biopreferred.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"bja.gov","bja.gov","https://www.bja.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bjs.gov","bjs.gov","https://bjs.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"bldrdoc.gov","bldrdoc.gov","http://bldrdoc.gov","Department of Commerce","dotgov","","","","","","","","","No"
"blm.gov","blm.gov","https://www.blm.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"bls.gov","bls.gov","https://www.bls.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bnl.gov","bnl.gov","https://www.bnl.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"boem.gov","boem.gov","https://www.boem.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"boemre.gov","boemre.gov","http://boemre.gov","Department of the Interior","dotgov","","","","","","","","","No"
"bondpro.gov","bondpro.gov","https://bondpro.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bop.gov","bop.gov","https://www.bop.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bosque.gov","bosque.gov","https://bosque.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bpa.gov","bpa.gov","https://www.bpa.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"brainhealth.gov","brainhealth.gov","http://brainhealth.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"broadband.gov","broadband.gov","http://broadband.gov","Federal Communications Commission","dotgov","No","No","No","","","","","","No"
"broadbandmap.gov","broadbandmap.gov","https://www.broadbandmap.gov","Federal Communications Commission","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bsee.gov","bsee.gov","https://www.bsee.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"bts.gov","bts.gov","https://www.bts.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"budget.gov","budget.gov","https://budget.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"budgetlob.gov","budgetlob.gov","https://budgetlob.gov","Department of Education","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"buildingamerica.gov","buildingamerica.gov","http://buildingamerica.gov","Department of Energy","dotgov","No","No","Yes","Yes","No","No","No","No","Ready"
"business.gov","business.gov","https://business.gov","Small Business Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"businessdefense.gov","businessdefense.gov","https://www.businessdefense.gov","Department of Defense","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"businessusa.gov","businessusa.gov","https://businessusa.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"buyaccessible.gov","buyaccessible.gov","http://buyaccessible.gov","General Services Administration","dotgov","No","No","No","Yes","No","No","No","No","Yes"
"buyamerican.gov","buyamerican.gov","https://www.buyamerican.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"buyusa.gov","buyusa.gov","https://www.buyusa.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"campusdrugprevention.gov","campusdrugprevention.gov","https://www.campusdrugprevention.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cancer.gov","cancer.gov","https://www.cancer.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cao.gov","cao.gov","https://cao.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cap.gov","cap.gov","https://cap.gov","Civil Air Patrol","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"capnhq.gov","capnhq.gov","https://www.capnhq.gov","Civil Air Patrol","dotgov","No","Yes","Yes","No","Yes","No","No","No","No"
"casl.gov","casl.gov","https://www.casl.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cbca.gov","cbca.gov","https://cbca.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cbp.gov","cbp.gov","https://www.cbp.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ccac.gov","ccac.gov","https://www.ccac.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cdc.gov","cdc.gov","https://www.cdc.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cdcpartners.gov","cdcpartners.gov","http://www.cdcpartners.gov","Department of Health and Human Services","dotgov","No","No","No","","","","","","Yes"
"cdfifund.gov","cdfifund.gov","https://www.cdfifund.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cendi.gov","cendi.gov","https://cendi.gov","Department of Energy","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"census.gov","census.gov","http://census.gov","Department of Commerce","dotgov","No","No","Yes","Yes","No","No","No","No","No"
"cep.gov","cep.gov","https://cep.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cerebrosano.gov","cerebrosano.gov","http://cerebrosano.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cfa.gov","cfa.gov","https://www.cfa.gov","U.S. Commission of Fine Arts","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"cfda.gov","cfda.gov","https://www.cfda.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cfo.gov","cfo.gov","https://cfo.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cfpa.gov","cfpa.gov","https://cfpa.gov","Consumer Financial Protection Bureau","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cfpb.gov","cfpb.gov","https://cfpb.gov","Consumer Financial Protection Bureau","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"cftc.gov","cftc.gov","https://cftc.gov","Commodity Futures Trading Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"challenge.gov","challenge.gov","https://www.challenge.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"challenges.gov","challenges.gov","https://challenges.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"chcoc.gov","chcoc.gov","https://chcoc.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"childcare.gov","childcare.gov","https://childcare.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"childreninadversity.gov","childreninadversity.gov","https://www.childreninadversity.gov","U.S. Agency for International Development","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"childstats.gov","childstats.gov","https://www.childstats.gov","Department of Education","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"childwelfare.gov","childwelfare.gov","https://www.childwelfare.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"choosemyplate.gov","choosemyplate.gov","https://www.choosemyplate.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cia.gov","cia.gov","https://www.cia.gov","Central Intelligence Agency","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"cigie.gov","cigie.gov","http://cigie.gov","Council of Inspectors General on Integrity and Efficiency","dotgov","","","","","","","","","No"
"cio.gov","cio.gov","https://www.cio.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cisa.gov","cisa.gov","https://cisa.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"citizenscience.gov","citizenscience.gov","https://www.citizenscience.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cjis.gov","cjis.gov","https://www.cjis.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"climate.gov","climate.gov","https://www.climate.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"clinicaltrials.gov","clinicaltrials.gov","https://clinicaltrials.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"clintonlibrary.gov","clintonlibrary.gov","https://www.clintonlibrary.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cloud.gov","cloud.gov","https://cloud.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cms.gov","cms.gov","https://www.cms.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cmts.gov","cmts.gov","https://www.cmts.gov","Department of Defense","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"cncsoig.gov","cncsoig.gov","http://www.cncsoig.gov","Corporation for National and Community Service, Office Of Inspector General","dotgov","No","No","No","Yes","No","No","No","No","No"
"cns.gov","cns.gov","http://cns.gov","Corporation for National & Community Service","dotgov","","","","","","","","","No"
"cnss.gov","cnss.gov","https://www.cnss.gov","Department of Defense","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"code.gov","code.gov","https://code.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"collegedrinkingprevention.gov","collegedrinkingprevention.gov","https://www.collegedrinkingprevention.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"collegenavigator.gov","collegenavigator.gov","https://collegenavigator.gov","Department of Education","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"commerce.gov","commerce.gov","https://www.commerce.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"complaintreferralexpress.gov","complaintreferralexpress.gov","https://www.complaintreferralexpress.gov","Department of the Treasury","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"comptrollerofthecurrency.gov","comptrollerofthecurrency.gov","https://comptrollerofthecurrency.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"computersforlearning.gov","computersforlearning.gov","https://computersforlearning.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"connect.gov","connect.gov","https://connect.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"consumer.gov","consumer.gov","https://www.consumer.gov","Federal Trade Commission","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"consumeraction.gov","consumeraction.gov","https://consumeraction.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"consumerbureau.gov","consumerbureau.gov","https://consumerbureau.gov","Consumer Financial Protection Bureau","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"consumerfinance.gov","consumerfinance.gov","https://www.consumerfinance.gov","Consumer Financial Protection Bureau","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"consumerfinancial.gov","consumerfinancial.gov","https://consumerfinancial.gov","Consumer Financial Protection Bureau","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"consumerfinancialbureau.gov","consumerfinancialbureau.gov","http://consumerfinancialbureau.gov","Consumer Financial Protection Bureau","dotgov","No","No","No","","","","","","No"
"consumerfinancialprotectionbureau.gov","consumerfinancialprotectionbureau.gov","https://www.consumerfinancialprotectionbureau.gov","Consumer Financial Protection Bureau","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"consumerprotection.gov","consumerprotection.gov","https://consumerprotection.gov","Consumer Financial Protection Bureau","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"consumerprotectionbureau.gov","consumerprotectionbureau.gov","https://consumerprotectionbureau.gov","Consumer Financial Protection Bureau","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"consumersentinel.gov","consumersentinel.gov","https://consumersentinel.gov","Federal Trade Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"consumidor.gov","consumidor.gov","https://www.consumidor.gov","Federal Trade Commission","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"contractdirectory.gov","contractdirectory.gov","https://contractdirectory.gov","General Services Administration","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"coralreef.gov","coralreef.gov","https://coralreef.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cpars.gov","cpars.gov","https://cpars.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cpnireporting.gov","cpnireporting.gov","https://www.cpnireporting.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cpsc.gov","cpsc.gov","https://cpsc.gov","Consumer Product Safety Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"crimesolutions.gov","crimesolutions.gov","https://crimesolutions.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"crimevictims.gov","crimevictims.gov","https://crimevictims.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"crisisnextdoor.gov","crisisnextdoor.gov","https://www.crisisnextdoor.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"csb.gov","csb.gov","https://www.csb.gov","Chemical Safety Board","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"csosa.gov","csosa.gov","https://www.csosa.gov","Court Services and Offender Supervision","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ctoc.gov","ctoc.gov","http://ctoc.gov","Department of Defense","dotgov","No","Yes","No","","","","","","No"
"cttso.gov","cttso.gov","https://cttso.gov","Department of Defense","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cuidadodesalud.gov","cuidadodesalud.gov","https://www.cuidadodesalud.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cupcao.gov","cupcao.gov","https://cupcao.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cwc.gov","cwc.gov","https://cwc.gov","Department of State","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cyber.gov","cyber.gov","https://cyber.gov","Executive Office of the President","dotgov","No","No","No","","","","","","No"
"cybercareers.gov","cybercareers.gov","https://www.cybercareers.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cybercrime.gov","cybercrime.gov","https://cybercrime.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cybersecurity.gov","cybersecurity.gov","https://cybersecurity.gov","Executive Office of the President","dotgov","No","No","No","","","","","","No"
"data.gov","data.gov","https://www.data.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"dc3on.gov","dc3on.gov","http://dc3on.gov","Department of Defense","dotgov","","","","","","","","","No"
"dea.gov","dea.gov","https://www.dea.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"deaecom.gov","deaecom.gov","https://www.deaecom.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"defense.gov","defense.gov","https://www.defense.gov","Department of Defense","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"denali.gov","denali.gov","https://www.denali.gov","Denali Commission","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"df.gov","df.gov","http://df.gov","Central Intelligence Agency","dotgov","","","","","","","","","No"
